name,count,collection,eod,eodnum,tops,th,gs_tops_mm,snd_shl,mean_gs_mm,max_gs_mm,ng,ar,depth_m,grain_size_mm
Karoo krf2,2,Skoorsteenberg,fan,1,5.506299764,1.037678853,0.134991948,1,0.201811165,0.25,0.964343429,0.35,"5.5063,5.4261,5.1402,4.8062,4.6211,4.5527,4.5174,4.4915,4.4686,","0.1350,0.1416,0.1804,0.2346,0.2500,0.2500,0.2500,0.2500,0.2500,"
Karoo krf2,2,Skoorsteenberg,fan,1,4.468620911,0.490137671,0.134991948,1,0.134991948,0.134991948,0.964343429,0.35,"4.4686,3.9785,","0.1350,0.1350,"
Karoo krf2,2,Skoorsteenberg,fan,1,3.97848324,0.627022966,0.135908533,1,0.202063019,0.25,0.964343429,0.35,"3.9785,3.7573,3.6834,3.6555,3.5932,3.4944,3.4300,3.3827,3.3515,","0.1359,0.1705,0.1981,0.2102,0.2343,0.2500,0.2500,0.2500,0.2500,"
Karoo krf2,2,Skoorsteenberg,fan,1,3.351460274,2.527392936,0.243214143,1,0.243214143,0.243214143,0.964343429,0.35,"3.3515,0.8241,","0.2432,0.2432,"
Karoo krf2,2,Skoorsteenberg,fan,1,0.824067338,0.315365221,0.174230043,1,0.174230043,0.174230043,0.964343429,0.35,"0.8241,0.5087,","0.1742,0.1742,"
Karoo krf2,2,Skoorsteenberg,fan,1,0.508702116,0.116648468,0.03125,0,0.03125,0.03125,0.964343429,0.35,"0.5087,0.3921,","0.0583,0.0583,"
Karoo krf2,2,Skoorsteenberg,fan,1,0.392053648,0.392053648,0.142256683,1,0.142256683,0.142256683,0.964343429,0.35,"0.3921,0.0000,","0.1423,0.1423,"
Karoo krf3,3,Skoorsteenberg,fan,1,18.38008054,0.383238169,0.12924502,1,0.12924502,0.12924502,0.877900647,0.095238095,"18.3801,17.9968,","0.1292,0.1292,"
Karoo krf3,3,Skoorsteenberg,fan,1,17.99684237,4.720341609,,,,,0.877900647,0.095238095,"17.9968,13.2765,","NaN,NaN,"
Karoo krf3,3,Skoorsteenberg,fan,1,13.27650076,0.380096042,0.089971527,1,0.089971527,0.089971527,0.877900647,0.095238095,"13.2765,12.8964,","0.0900,0.0900,"
Karoo krf3,3,Skoorsteenberg,fan,1,12.89640472,0.400367831,,,,,0.877900647,0.095238095,"12.8964,12.4960,","NaN,NaN,"
Karoo krf3,3,Skoorsteenberg,fan,1,12.49603689,1.008521498,0.088582383,1,0.088582383,0.088582383,0.877900647,0.095238095,"12.4960,11.4875,","0.0886,0.0886,"
Karoo krf3,3,Skoorsteenberg,fan,1,11.48751539,2.226931056,,,,,0.877900647,0.095238095,"11.4875,9.2606,","NaN,NaN,"
Karoo krf3,3,Skoorsteenberg,fan,1,9.260584335,0.321855526,0.126570829,1,0.126570829,0.126570829,0.877900647,0.095238095,"9.2606,8.9387,","0.1266,0.1266,"
Karoo krf3,3,Skoorsteenberg,fan,1,8.938728809,0.078501348,0.03125,0,0.03125,0.03125,0.877900647,0.095238095,"8.9387,8.8602,","0.0583,0.0583,"
Karoo krf3,3,Skoorsteenberg,fan,1,8.860227461,0.693428573,0.126825307,1,0.126825307,0.126825307,0.877900647,0.095238095,"8.8602,8.1668,","0.1268,0.1268,"
